Čas (Index),Buy_Price,Sell_Price,Sloupec_3,Sloupec_4,Sloupec_5,Sloupec_6
177427443.2721,1282.400000000002,1206.7999999999995,3346283,1378359,6225384,30284068
177427445.2721,1282.400000000002,1206.7999999999995,3346283,1378308,6225384,30284119
177427447.2721,1282.400000000002,1206.7999999999995,3346283,1378295,6225384,30284132
177427449.2721,1282.5000000000018,1206.7999999999995,3346283,1378295,6225384,30284132
177427451.2721,1282.400000000002,1206.7999999999995,3346419,1378066,6225384,30284361
177427453.2721,1282.400000000002,1206.7999999999995,3346419,1377160,6225384,30285267
177427455.2721,1282.400000000002,1206.7999999999995,3346397,1376990,6225389,30285437
177427457.2721,1282.400000000002,1206.7999999999995,3346397,1376986,6225389,30285441
177427459.2721,1282.400000000002,1206.8999999999994,3346397,1381068,6225389,30285747
177427461.2721,1282.400000000002,1206.8999999999994,3346397,1380714,6225389,30286101
177427463.2721,1282.400000000002,1206.8999999999994,3346396,1380161,6225390,30286654
177427465.2721,1282.400000000002,1206.8999999999994,3346332,1378805,6225454,30288010
177427467.2721,1282.400000000002,1206.8999999999994,3346332,1378715,6225454,30288100
177427469.2721,1282.400000000002,1206.8999999999994,3346332,1378044,6225454,30288771
177427471.2721,1282.5000000000018,1206.8999999999994,3346228,1377896,6225710,30288919
177427473.2721,1282.5000000000018,1206.8999999999994,3346228,1377710,6225710,30289105
177427475.2721,1282.400000000002,1206.8999999999994,3346419,1377578,6225710,30289237
177427477.2721,1282.300000000002,1206.8999999999994,3347030,1377128,6225838,30289688
177427479.2721,1282.300000000002,1206.8999999999994,3347030,1376921,6225838,30289895
177427481.2721,1282.200000000002,1206.8999999999994,3347182,1376791,6225838,30290025
177427483.2721,1282.1000000000022,1206.8999999999994,3347410,1376307,6225838,30290509
177427485.2721,1282.1000000000022,1206.8999999999994,3347410,1375840,6225838,30290976
177427487.2721,1282.1000000000022,1206.8999999999994,3347259,1375798,6225989,30291018
177427489.2721,1282.1000000000022,1206.8999999999994,3347258,1373465,6225990,30293351
177427491.2721,1282.1000000000022,1206.5999999999995,3347258,1373193,6225990,30294647
177427493.2721,1282.1000000000022,1206.6999999999994,3347066,1371025,6226182,30296907
177427495.2721,1282.1000000000022,1206.6999999999994,3347097,1370953,6226182,30296979
177427497.2721,1282.200000000002,1206.5999999999995,3347097,1370921,6226182,30297011
177427499.2721,1282.200000000002,1206.5999999999995,3347041,1370360,6226238,30297572
177427501.2721,1282.300000000002,1206.5999999999995,3347041,1370359,6226238,30297573
177427503.2721,1282.200000000002,1206.5999999999995,3346798,1370094,6226481,30297838
177427505.2721,1282.300000000002,1206.5999999999995,3346798,1369649,6226481,30298283
177427507.2721,1282.300000000002,1206.5999999999995,3346735,1369484,6226482,30298448
177427509.2721,1282.300000000002,1206.5999999999995,3346733,1369429,6226484,30298503
177427511.2721,1282.300000000002,1206.5999999999995,3346733,1365807,6226484,30302125
177427513.2721,1282.500000000002,1206.5999999999995,3346733,1363455,6226484,30304477
177427515.2721,1282.500000000002,1206.6999999999994,3344941,1363455,6228276,30304477
177427517.2721,1282.500000000002,1206.6999999999994,3344941,1364454,6228276,30304502
177427519.2721,1282.500000000002,1206.6999999999994,3344941,1363498,6228276,30305458
177427521.2721,1282.500000000002,1206.6999999999994,3344941,1363497,6228276,30305459
177427523.2721,1282.500000000002,1206.5999999999995,3344940,1363187,6228277,30305769
177427525.2721,1282.500000000002,1206.5999999999995,3344551,1363141,6228666,30305815
177427527.2721,1282.500000000002,1206.5999999999995,3344551,1362746,6228666,30306210
177427529.2721,1282.500000000002,1206.5999999999995,3344551,1362637,6228666,30306319
177427531.2721,1282.500000000002,1206.5999999999995,3344613,1362365,6228666,30306591
177427533.2721,1282.500000000002,1206.5999999999995,3343589,1362365,6229690,30306591
177427535.2721,1282.500000000002,1206.5999999999995,3343587,1362149,6229692,30306807
177427537.2721,1282.500000000002,1206.5999999999995,3343587,1362149,6229692,30306807
177427539.2721,1282.4000000000021,1206.5999999999995,3343787,1360764,6229692,30308192
177427541.2721,1282.4000000000021,1249.9999999999995,3343787,1360670,6229692,30308286
177427543.2721,1282.4000000000021,1250.0999999999995,3343787,1360605,6229692,30308353
177427545.2721,1282.4000000000021,1250.0999999999995,3343787,1378531,6229692,30308427
177427547.2721,1282.4000000000021,1250.0999999999995,3343701,1374644,6229778,30312314
177427549.2721,1282.500000000002,1250.1999999999994,3343701,1374135,6229778,30312923
177427551.2721,1282.500000000002,1250.1999999999994,3341781,1374135,6231698,30312923
177427553.2721,1282.4000000000021,1250.0999999999995,3341781,1374085,6231698,30312973
177427555.2721,1282.500000000002,1250.0999999999995,3341657,1374002,6231826,30313056
177427557.2721,1282.4000000000021,1250.0999999999995,3341657,1373961,6231826,30313097
177427559.2721,1282.500000000002,1250.0999999999995,3341629,1373843,6231954,30313215
177427561.2721,1282.4000000000021,1250.1999999999994,3341792,1373718,6232034,30313540
177427563.2721,1282.4000000000021,1250.1999999999994,3341792,1373697,6232034,30313561
177427565.2721,1282.3000000000022,1250.0999999999995,3341792,1373484,6232034,30313774
177427567.2721,1282.3000000000022,1250.0999999999995,3341992,1373439,6232034,30313819
177427569.2721,1282.3000000000022,1250.0999999999995,3341992,1373433,6232034,30313825
177427571.2721,1282.3000000000022,1250.0999999999995,3341992,1373352,6232034,30313906
177427573.2721,1282.3000000000022,1250.0999999999995,3341992,1373352,6232034,30313906
177427575.2721,1282.3000000000022,1250.0999999999995,3341992,1372585,6232034,30314673
177427577.2721,1282.3000000000022,1250.0999999999995,3341992,1366895,6232034,30320363
177427579.2721,1282.2000000000023,1250.0999999999995,3342594,1365568,6232034,30321690
177427581.2721,1282.2000000000023,1250.0999999999995,3342594,1363754,6217442,30252452
177427583.2721,1282.2000000000023,1250.0999999999995,3362594,1363444,6217442,30252762
177427585.2721,1282.2000000000023,1250.0999999999995,3362594,1363444,6217442,30252762
177427587.2721,1282.2000000000023,1250.0999999999995,3362594,1363076,6217442,30253131
177427589.2721,1282.4000000000024,1250.0999999999995,3362594,1362838,6217442,30253369
177427591.2721,1282.4000000000024,1250.0999999999995,3361754,1362389,6218082,30253818
177427593.2721,1282.4000000000024,1250.0999999999995,3361754,1362156,6218082,30254051
177427595.2721,1282.4000000000024,1250.1999999999994,3361754,1366867,6218082,30254460
177427597.2721,1282.3000000000025,1250.1999999999994,3361735,1365967,6218101,30255360
177427599.2721,1282.3000000000025,1250.1999999999994,3361769,1365809,6218105,30255518
177427601.2721,1282.3000000000025,1250.1999999999994,3361769,1365439,6218105,30255888
177427603.2721,1282.3000000000025,1206.5999999999995,3361769,1345072,6218105,30276255
177427605.2721,1282.3000000000025,1206.5999999999995,3361769,1344959,6218105,30276368
177427607.2721,1282.3000000000025,1206.5999999999995,3361769,1344637,6218105,30276690
177427609.2721,1282.2000000000025,1206.5999999999995,3361802,1344390,6218105,30276937
